Model,Calibration,Pre-Calibration Brier,Post-Calibration Brier,Brier Improvement
logistic_regression,Isotonic,0.20467376390039718,0.141127753524348,0.06354601037604918
logistic_regression,Platt sigmoid,0.20467376390039718,0.1409627934558235,0.06371097044457369
mlp,Isotonic,0.24000921435964828,0.1601503682139314,0.0798588461457169
mlp,Platt sigmoid,0.24000921435964828,0.16014248092140515,0.07986673343824313
random_forest,Isotonic,0.14125781889822983,0.14119651491483998,6.130398338985432e-05
random_forest,Platt sigmoid,0.14125781889822983,0.1419629356566332,-0.0007051167584033735
xgboost,Isotonic,0.14063535929230905,0.14115571422634166,-0.0005203549340326019
xgboost,Platt sigmoid,0.14063535929230905,0.14185361807449068,-0.0012182587821816249
