Group Removed,Removed Column Count,Test AUC,AUC Delta vs Full,Brier Score,Brier Delta vs Full,Removed Columns
Loan term features only,2,0.7223540172207661,-0.014161723456108888,0.14318404050297126,0.0025501589563610982,"term__36_months, term__60_months"
DTI only,1,0.7355688607911436,-0.0009468798857313887,0.14083025171733743,0.00019637017072726692,dti
FICO features only,3,0.7356922973571067,-0.0008234433197682467,0.14089830544800888,0.0002644239013987193,"avg_fico, fico_range_high, fico_range_low"
None (Full Features),0,0.736515740676875,0.0,0.14063388154661016,0.0,
Income features only,3,0.7375376847956039,0.0010219441187289124,0.14048031496028515,-0.0001535665863250102,"annual_inc, installment_to_income, log_annual_inc"
