Model,Validation AUC (No SMOTE),Validation AUC (SMOTE train only),Delta (SMOTE - No SMOTE)
logistic_regression,0.7329387956060867,0.7324899746132596,-0.00044882099282705923
random_forest,0.7309150248654445,0.7239893114736883,-0.006925713391756183
xgboost,0.7363773383216379,0.7330371289563595,-0.003340209365278346
