Model,Brier Score_random,Brier Score_temporal,ECE_temporal,F1_random,F1_temporal,PR AUC_random,PR AUC_temporal,Precision_random,Precision_temporal,ROC AUC_random,ROC AUC_temporal,Recall_random,Recall_temporal
logistic_regression,0.2041987700755873,0.2098507757062592,0.2180317870708605,0.4266857669088305,0.4383233532934131,0.4073546235532373,0.3644162574652119,0.2923033786625543,0.3086003372681282,0.7314069541201085,0.6971996774269501,0.7897727272727273,0.756198347107438
random_forest,0.1628720822924191,0.168214521588095,0.1092548172206531,0.4454865181711606,0.4129769434809223,0.4104175889602278,0.3830854135785764,0.3632887189292543,0.3716489166360631,0.7333276213385754,0.698489616444162,0.5757575757575758,0.4646464646464646
xgboost,0.1408605573710064,0.156700647725471,0.0457919349417532,0.3369104067881208,0.2308248914616497,0.4153421939934306,0.4001849977407261,0.4937820043891733,0.5443686006825939,0.7376632947935349,0.7072548915730734,0.2556818181818182,0.1464646464646464
