,precision,recall,f1-score,support
Fully Paid,0.8340955284552846,0.9340857359635811,0.8812634216177523,10544.0
Charged Off,0.4949127906976744,0.25795454545454544,0.3391434262948207,2640.0
accuracy,0.7986953883495146,0.7986953883495146,0.7986953883495146,0.7986953883495146
macro avg,0.6645041595764795,0.5960201407090633,0.6102034239562865,13184.0
weighted avg,0.7661766549965399,0.7986953883495146,0.7727078400300293,13184.0
