,precision,recall,f1-score,support
Fully Paid,0.8392832529290145,0.7806410256410257,0.8089006974427101,7800.0
Charged Off,0.37164891663606314,0.46464646464646464,0.4129769434809223,2178.0
accuracy,0.711665664461816,0.711665664461816,0.711665664461816,0.711665664461816
macro avg,0.6054660847825388,0.6226437451437452,0.6109388204618162,9978.0
weighted avg,0.7372079287712626,0.711665664461816,0.7224783747198424,9978.0
