,precision,recall,f1-score,support
Fully Paid,0.8020655877342419,0.9657692307692308,0.8763378315495579,7800.0
Charged Off,0.5443686006825939,0.14646464646464646,0.23082489146164978,2178.0
accuracy,0.786931248747244,0.786931248747244,0.786931248747244,0.786931248747244
macro avg,0.6732170942084179,0.5561169386169387,0.5535813615056039,9978.0
weighted avg,0.7458154336153313,0.786931248747244,0.7354351272489502,9978.0
