,precision,recall,f1-score,support
Fully Paid,0.885585003232062,0.5269230769230769,0.6607185917530745,7800.0
Charged Off,0.3086003372681282,0.756198347107438,0.43832335329341315,2178.0
accuracy,0.5769693325315695,0.5769693325315695,0.5769693325315695,0.5769693325315695
macro avg,0.5970926702500952,0.6415607120152576,0.5495209725232438,9978.0
weighted avg,0.7596406654419791,0.5769693325315695,0.6121741109588129,9978.0
