Model,ROC AUC Before,Brier Score Before,ROC AUC After,Brier Score After,ROC AUC Delta,Brier Delta (After-Before)
logistic_regression,0.7346303153883295,0.2045237757304279,0.734489024348186,0.2046737639003971,-0.00014129104014348748,0.00014998816996919517
random_forest,0.7333276213385754,0.1628720822924191,0.7357322992826597,0.1412578188982298,0.002404677944084277,-0.021614263394189287
xgboost,0.7376632947935349,0.1408605573710064,0.7383194557007864,0.140635359292309,0.0006561609072515129,-0.00022519807869739172
