,precision,recall,f1-score,support
Fully Paid,0.9113463446907046,0.5225720789074355,0.6642555756479807,10544.0
Charged Off,0.2947604370972261,0.796969696969697,0.43035385559419104,2640.0
accuracy,0.5775182038834952,0.5775182038834952,0.5775182038834952,0.5775182038834952
macro avg,0.6030533908939654,0.6597708879385662,0.5473047156210858,13184.0
weighted avg,0.7878795063983212,0.5775182038834952,0.6174184593750738,13184.0
