,precision,recall,f1-score,support
Fully Paid,0.8295049340741355,0.9486911987860395,0.8851037472901827,10544.0
Charged Off,0.5191111111111111,0.22121212121212122,0.3102257636122178,2640.0
accuracy,0.8030188106796117,0.8030188106796117,0.8030188106796117,0.8030188106796117
macro avg,0.6743080225926232,0.5849516599990804,0.5976647554512002,13184.0
weighted avg,0.7673508311749861,0.8030188106796117,0.7699886170634057,13184.0
